Date,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,is_missing_value,Open,High,Low,Close,Adj Close,Volume,market_value
2021-06-21,0.3369488499835081,0.3245392685344515,0.3385118814820403,414426709.0,0,2245.31787109375,2259.464111328125,1867.1854248046875,1888.447509765625,1888.447509765625,33745173825,2066.8826904296875
2021-06-22,0.3080560934957668,0.3925781145282865,0.2993657919759467,551522981.0,0,1886.6676025390625,1993.1597900390625,1707.6005859375,1874.9500732421875,1874.9500732421875,35547251725,1880.808837890625
2021-06-23,0.3464202935037578,0.3310649237882356,0.3225147827080065,359486232.0,0,1878.625,2043.5303955078125,1827.571533203125,1989.736328125,1989.736328125,28408659206,1934.1806640625
2021-06-24,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1968.9573974609375,2032.33935546875,1887.4320068359375,1988.456298828125,1988.456298828125,20272845769,1978.7068481445312
2021-06-25,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1989.2158203125,2017.759521484375,1794.400390625,1813.21728515625,1813.21728515625,22774334998,1901.216552734375
2021-06-26,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1810.88427734375,1850.1798095703125,1719.5594482421875,1829.2392578125,1829.2392578125,20637542361,1820.061767578125
2021-06-27,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1830.9969482421875,1979.9581298828125,1811.245849609375,1978.8946533203125,1978.8946533203125,19885474742,1904.94580078125
2021-06-28,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1981.386474609375,2139.805419921875,1963.615478515625,2079.657470703125,2079.657470703125,25514602841,2030.52197265625
2021-06-29,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2083.44873046875,2242.23876953125,2076.240234375,2160.768310546875,2160.768310546875,24815124419,2122.1085205078125
2021-06-30,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2164.21630859375,2282.989013671875,2090.7607421875,2274.547607421875,2274.547607421875,25828056268,2219.3819580078125
2021-07-01,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2274.3974609375,2274.3974609375,2081.0810546875,2113.60546875,2113.60546875,29061701793,2194.00146484375
2021-07-02,0.3555205910724285,0.3720621610733046,0.2724172478542669,171856299.0,0,2109.892578125,2155.596435546875,2021.8248291015625,2150.040283203125,2150.040283203125,31796212554,2129.9664306640625
2021-07-03,0.3334715421501691,0.3801310051622156,0.2863974526876152,176230918.0,0,2150.8349609375,2237.567138671875,2117.590087890625,2226.1142578125,2226.1142578125,17433361641,2188.474609375
2021-07-04,0.4986367555023131,0.2817684906312928,0.219594753866394,256424655.0,0,2226.55029296875,2384.286865234375,2190.837646484375,2321.72412109375,2321.72412109375,18787107473,2274.13720703125
